Year,region,Medal,Medal Count
1956,Sweden,Gold,10
1956,Sweden,Silver,9
1956,Switzerland,Bronze,2
1956,Switzerland,Gold,3
1956,Switzerland,Silver,2
1956,Turkey,Bronze,2
1956,Turkey,Gold,3
1956,Turkey,Silver,2
1956,UK,Bronze,11
1956,UK,Gold,6
1956,UK,Silver,7
1956,USA,Bronze,19
1956,USA,Gold,34
1956,USA,Silver,28
1956,Uruguay,Bronze,1
1956,Uruguay,Gold,0
1956,Uruguay,Silver,0
1960,Argentina,Bronze,1
1960,Argentina,Gold,0
1960,Argentina,Silver,1
1960,Australia,Bronze,6
1960,Australia,Gold,8
1960,Australia,Silver,8
1960,Austria,Bronze,3
1960,Austria,Gold,2
1960,Austria,Silver,3
1960,Belgium,Bronze,2
1960,Belgium,Gold,0
1960,Belgium,Silver,2
1960,Brazil,Bronze,2
1960,Brazil,Gold,0
1960,Brazil,Silver,0
1960,Bulgaria,Bronze,3
1960,Bulgaria,Gold,1
1960,Bulgaria,Silver,3
1960,Canada,Bronze,1
1960,Canada,Gold,2
1960,Canada,Silver,2
1960,Czech Republic,Bronze,3
1960,Czech Republic,Gold,3
1960,Czech Republic,Silver,3
1960,Denmark,Bronze,1
1960,Denmark,Gold,2
1960,Denmark,Silver,3
1960,Ethiopia,Bronze,0
1960,Ethiopia,Gold,1
1960,Ethiopia,Silver,0
1960,Finland,Bronze,6
1960,Finland,Gold,3
1960,Finland,Silver,4
1960,France,Bronze,5
1960,France,Gold,1
1960,France,Silver,2
1960,Germany,Bronze,12
1960,Germany,Gold,16
1960,Germany,Silver,22
1960,Ghana,Bronze,0
1960,Ghana,Gold,0
1960,Ghana,Silver,1
1960,Greece,Bronze,0
1960,Greece,Gold,1
1960,Greece,Silver,0
1960,Hungary,Bronze,7
1960,Hungary,Gold,6
1960,Hungary,Silver,8
1960,India,Bronze,0
1960,India,Gold,0
1960,India,Silver,1
1960,Iran,Bronze,3
1960,Iran,Gold,0
1960,Iran,Silver,1
1960,Iraq,Bronze,1
1960,Iraq,Gold,0
1960,Iraq,Silver,0
1960,Italy,Bronze,14
1960,Italy,Gold,13
1960,Italy,Silver,10
1960,Japan,Bronze,7
1960,Japan,Gold,4
1960,Japan,Silver,7
1960,Mexico,Bronze,1
1960,Mexico,Gold,0
1960,Mexico,Silver,0
1960,Morocco,Bronze,0
1960,Morocco,Gold,0
1960,Morocco,Silver,1
1960,Netherlands,Bronze,3
1960,Netherlands,Gold,0
1960,Netherlands,Silver,2
1960,New Zealand,Bronze,1
1960,New Zealand,Gold,2
1960,New Zealand,Silver,0
1960,Norway,Bronze,0
1960,Norway,Gold,4
1960,Norway,Silver,3
1960,Pakistan,Bronze,1
1960,Pakistan,Gold,1
1960,Pakistan,Silver,0
1960,Poland,Bronze,12
1960,Poland,Gold,4
1960,Poland,Silver,7
1960,Portugal,Bronze,0
1960,Portugal,Gold,0
1960,Portugal,Silver,1
1960,Romania,Bronze,6
1960,Romania,Gold,3
1960,Romania,Silver,1
1960,Russia,Bronze,40
1960,Russia,Gold,50
1960,Russia,Silver,34
1960,Serbia,Bronze,0
1960,Serbia,Gold,1
1960,Serbia,Silver,1
1960,South Africa,Bronze,2
1960,South Africa,Gold,0
1960,South Africa,Silver,1
1960,Spain,Bronze,1
1960,Spain,Gold,0
1960,Spain,Silver,0
1960,Sweden,Bronze,5
1960,Sweden,Gold,4
1960,Sweden,Silver,4
1960,Switzerland,Bronze,3
1960,Switzerland,Gold,2
1960,Switzerland,Silver,3
1960,Syria,Bronze,1
1960,Syria,Gold,0
1960,Syria,Silver,1
1960,Taiwan,Bronze,0
1960,Taiwan,Gold,0
1960,Taiwan,Silver,1
1960,Trinidad,Bronze,2
1960,Trinidad,Gold,0
1960,Trinidad,Silver,0
1960,Turkey,Bronze,0
1960,Turkey,Gold,7
1960,Turkey,Silver,2
1960,UK,Bronze,12
1960,UK,Gold,2
1960,UK,Silver,6
1960,USA,Bronze,19
1960,USA,Gold,37
1960,USA,Silver,25
1960,Venezuela,Bronze,1
1960,Venezuela,Gold,0
1960,Venezuela,Silver,0
1964,Argentina,Bronze,0
1964,Argentina,Gold,0
1964,Argentina,Silver,1
1964,Australia,Bronze,10
1964,Australia,Gold,6
1964,Australia,Silver,2
1964,Austria,Bronze,3
1964,Austria,Gold,4
1964,Austria,Silver,5
1964,Bahamas,Bronze,0
1964,Bahamas,Gold,1
1964,Bahamas,Silver,0
1964,Belgium,Bronze,1
1964,Belgium,Gold,2
1964,Belgium,Silver,0
1964,Brazil,Bronze,1
1964,Brazil,Gold,0
1964,Brazil,Silver,0
1964,Bulgaria,Bronze,2
1964,Bulgaria,Gold,3
1964,Bulgaria,Silver,5
1964,Canada,Bronze,2
1964,Canada,Gold,2
1964,Canada,Silver,3
1964,Cuba,Bronze,0
1964,Cuba,Gold,0
1964,Cuba,Silver,1
1964,Czech Republic,Bronze,4
1964,Czech Republic,Gold,5
1964,Czech Republic,Silver,6
1964,Denmark,Bronze,3
1964,Denmark,Gold,2
1964,Denmark,Silver,1
1964,Ethiopia,Bronze,0
1964,Ethiopia,Gold,1
1964,Ethiopia,Silver,0
1964,Finland,Bronze,5
1964,Finland,Gold,6
1964,Finland,Silver,4
1964,France,Bronze,6
1964,France,Gold,4
1964,France,Silver,12
1964,Germany,Bronze,21
1964,Germany,Gold,13
1964,Germany,Silver,25
1964,Ghana,Bronze,1
1964,Ghana,Gold,0
1964,Ghana,Silver,0
1964,Hungary,Bronze,5
1964,Hungary,Gold,10
1964,Hungary,Silver,7
1964,India,Bronze,0
1964,India,Gold,1
1964,India,Silver,0
1964,Iran,Bronze,2
1964,Iran,Gold,0
1964,Iran,Silver,0
1964,Ireland,Bronze,1
1964,Ireland,Gold,0
1964,Ireland,Silver,0
1964,Italy,Bronze,10
1964,Italy,Gold,10
1964,Italy,Silver,11
1964,Japan,Bronze,8
1964,Japan,Gold,16
1964,Japan,Silver,5
1964,Kenya,Bronze,1
1964,Kenya,Gold,0
1964,Kenya,Silver,0
1964,Mexico,Bronze,1
1964,Mexico,Gold,0
1964,Mexico,Silver,0
1964,Netherlands,Bronze,4
1964,Netherlands,Gold,3
1964,Netherlands,Silver,5
1964,New Zealand,Bronze,2
1964,New Zealand,Gold,3
1964,New Zealand,Silver,0
1964,Nigeria,Bronze,1
1964,Nigeria,Gold,0
1964,Nigeria,Silver,0
1964,North Korea,Bronze,0
1964,North Korea,Gold,0
1964,North Korea,Silver,1
1964,Norway,Bronze,6
1964,Norway,Gold,3
1964,Norway,Silver,6
1964,Pakistan,Bronze,0
1964,Pakistan,Gold,0
1964,Pakistan,Silver,1
1964,Philippines,Bronze,0
1964,Philippines,Gold,0
1964,Philippines,Silver,1
1964,Poland,Bronze,10
1964,Poland,Gold,7
1964,Poland,Silver,6
1964,Romania,Bronze,6
1964,Romania,Gold,2
1964,Romania,Silver,4
1964,Russia,Bronze,39
1964,Russia,Gold,41
1964,Russia,Silver,37
1964,Serbia,Bronze,2
1964,Serbia,Gold,2
1964,Serbia,Silver,1
1964,South Korea,Bronze,1
1964,South Korea,Gold,0
1964,South Korea,Silver,2
1964,Sweden,Bronze,5
1964,Sweden,Gold,5
1964,Sweden,Silver,5
1964,Switzerland,Bronze,1
1964,Switzerland,Gold,1
1964,Switzerland,Silver,2
1964,Trinidad,Bronze,2
1964,Trinidad,Gold,0
1964,Trinidad,Silver,1
1964,Tunisia,Bronze,1
1964,Tunisia,Gold,0
1964,Tunisia,Silver,1
1964,Turkey,Bronze,1
1964,Turkey,Gold,2
1964,Turkey,Silver,3
1964,UK,Bronze,2
1964,UK,Gold,5
1964,UK,Silver,12
1964,USA,Bronze,32
1964,USA,Gold,37
1964,USA,Silver,28
1964,Uruguay,Bronze,1
1964,Uruguay,Gold,0
1964,Uruguay,Silver,0
1968,Argentina,Bronze,2
1968,Argentina,Gold,0
1968,Argentina,Silver,0
1968,Australia,Bronze,5
1968,Australia,Gold,5
1968,Australia,Silver,7
1968,Austria,Bronze,6
1968,Austria,Gold,3
1968,Austria,Silver,6
1968,Belgium,Bronze,1
1968,Belgium,Gold,0
1968,Belgium,Silver,1
1968,Brazil,Bronze,2
1968,Brazil,Gold,0
1968,Brazil,Silver,1
1968,Bulgaria,Bronze,3
1968,Bulgaria,Gold,2
1968,Bulgaria,Silver,4
1968,Cameroon,Bronze,0
1968,Cameroon,Gold,0
1968,Cameroon,Silver,1
1968,Canada,Bronze,2
1968,Canada,Gold,2
1968,Canada,Silver,4
1968,Cuba,Bronze,0
1968,Cuba,Gold,0
1968,Cuba,Silver,4
1968,Czech Republic,Bronze,5
1968,Czech Republic,Gold,8
1968,Czech Republic,Silver,4
1968,Denmark,Bronze,3
1968,Denmark,Gold,1
1968,Denmark,Silver,4
1968,Ethiopia,Bronze,0
1968,Ethiopia,Gold,1
1968,Ethiopia,Silver,1
1968,Finland,Bronze,3
1968,Finland,Gold,2
1968,Finland,Silver,4
1968,France,Bronze,7
1968,France,Gold,11
1968,France,Silver,6
1968,Germany,Bronze,22
1968,Germany,Gold,17
1968,Germany,Silver,24
1968,Greece,Bronze,1
1968,Greece,Gold,0
1968,Greece,Silver,0
1968,Hungary,Bronze,12
1968,Hungary,Gold,10
1968,Hungary,Silver,10
1968,India,Bronze,1
1968,India,Gold,0
1968,India,Silver,0
1968,Iran,Bronze,2
1968,Iran,Gold,2
1968,Iran,Silver,1
1968,Italy,Bronze,9
1968,Italy,Gold,7
1968,Italy,Silver,4
1968,Jamaica,Bronze,0
1968,Jamaica,Gold,0
1968,Jamaica,Silver,1
1968,Japan,Bronze,7
1968,Japan,Gold,11
1968,Japan,Silver,7
1968,Kenya,Bronze,2
1968,Kenya,Gold,3
1968,Kenya,Silver,4
1968,Mexico,Bronze,3
1968,Mexico,Gold,3
1968,Mexico,Silver,3
1968,Mongolia,Bronze,3
1968,Mongolia,Gold,0
1968,Mongolia,Silver,1
1968,Netherlands,Bronze,4
1968,Netherlands,Gold,6
1968,Netherlands,Silver,6
1968,New Zealand,Bronze,2
1968,New Zealand,Gold,1
1968,New Zealand,Silver,0
1968,Norway,Bronze,2
1968,Norway,Gold,7
1968,Norway,Silver,7
1968,Pakistan,Bronze,0
1968,Pakistan,Gold,1
1968,Pakistan,Silver,0
1968,Poland,Bronze,11
1968,Poland,Gold,5
1968,Poland,Silver,2
1968,Romania,Bronze,6
1968,Romania,Gold,4
1968,Romania,Silver,6
1968,Russia,Bronze,33
1968,Russia,Gold,34
1968,Russia,Silver,37
1968,Serbia,Bronze,2
1968,Serbia,Gold,3
1968,Serbia,Silver,3
1968,South Korea,Bronze,1
1968,South Korea,Gold,0
1968,South Korea,Silver,1
1968,Sweden,Bronze,4
1968,Sweden,Gold,5
1968,Sweden,Silver,3
1968,Switzerland,Bronze,8
1968,Switzerland,Gold,0
1968,Switzerland,Silver,3
1968,Taiwan,Bronze,1
1968,Taiwan,Gold,0
1968,Taiwan,Silver,0
1968,Tunisia,Bronze,1
1968,Tunisia,Gold,1
1968,Tunisia,Silver,0
1968,Turkey,Bronze,0
1968,Turkey,Gold,2
1968,Turkey,Silver,0
1968,UK,Bronze,3
1968,UK,Gold,5
1968,UK,Silver,5
1968,USA,Bronze,35
1968,USA,Gold,46
1968,USA,Silver,31
1968,Uganda,Bronze,1
1968,Uganda,Gold,0
1968,Uganda,Silver,1
1968,Venezuela,Bronze,0
1968,Venezuela,Gold,1
1968,Venezuela,Silver,0
1972,Argentina,Bronze,0
1972,Argentina,Gold,0
1972,Argentina,Silver,1
1972,Australia,Bronze,2
1972,Australia,Gold,8
1972,Australia,Silver,7
1972,Austria,Bronze,4
1972,Austria,Gold,1
1972,Austria,Silver,3
1972,Belgium,Bronze,0
1972,Belgium,Gold,0
1972,Belgium,Silver,2
1972,Brazil,Bronze,2
1972,Brazil,Gold,0
1972,Brazil,Silver,0
1972,Bulgaria,Bronze,5
1972,Bulgaria,Gold,6
1972,Bulgaria,Silver,10
1972,Canada,Bronze,3
1972,Canada,Gold,0
1972,Canada,Silver,3
1972,Colombia,Bronze,2
1972,Colombia,Gold,0
1972,Colombia,Silver,1
1972,Cuba,Bronze,4
1972,Cuba,Gold,3
1972,Cuba,Silver,1
1972,Czech Republic,Bronze,4
1972,Czech Republic,Gold,3
1972,Czech Republic,Silver,4
1972,Denmark,Bronze,0
1972,Denmark,Gold,1
1972,Denmark,Silver,0
1972,Ethiopia,Bronze,2
1972,Ethiopia,Gold,0
1972,Ethiopia,Silver,0
1972,Finland,Bronze,5
1972,Finland,Gold,3
1972,Finland,Silver,5
1972,France,Bronze,9
1972,France,Gold,2
1972,France,Silver,5
1972,Germany,Bronze,47
1972,Germany,Gold,40
1972,Germany,Silver,38
1972,Ghana,Bronze,1
1972,Ghana,Gold,0
1972,Ghana,Silver,0
1972,Greece,Bronze,0
1972,Greece,Gold,0
1972,Greece,Silver,2
1972,Hungary,Bronze,16
1972,Hungary,Gold,6
1972,Hungary,Silver,13
1972,India,Bronze,1
1972,India,Gold,0
1972,India,Silver,0
1972,Iran,Bronze,1
1972,Iran,Gold,0
1972,Iran,Silver,2
1972,Italy,Bronze,11
1972,Italy,Gold,7
1972,Italy,Silver,5
1972,Jamaica,Bronze,1
1972,Jamaica,Gold,0
1972,Jamaica,Silver,0
1972,Japan,Bronze,9
1972,Japan,Gold,14
1972,Japan,Silver,9
1972,Kenya,Bronze,4
1972,Kenya,Gold,2
1972,Kenya,Silver,3
1972,Lebanon,Bronze,0
1972,Lebanon,Gold,0
1972,Lebanon,Silver,1
1972,Mexico,Bronze,0
1972,Mexico,Gold,0
1972,Mexico,Silver,1
1972,Mongolia,Bronze,0
1972,Mongolia,Gold,0
1972,Mongolia,Silver,1
1972,Netherlands,Bronze,3
1972,Netherlands,Gold,7
1972,Netherlands,Silver,4
1972,New Zealand,Bronze,1
1972,New Zealand,Gold,1
1972,New Zealand,Silver,1
1972,Niger,Bronze,1
1972,Niger,Gold,0
1972,Niger,Silver,0
1972,Nigeria,Bronze,1
1972,Nigeria,Gold,0
1972,Nigeria,Silver,0
1972,North Korea,Bronze,3
1972,North Korea,Gold,1
1972,North Korea,Silver,1
1972,Norway,Bronze,6
1972,Norway,Gold,4
1972,Norway,Silver,6
1972,Pakistan,Bronze,0
1972,Pakistan,Gold,0
1972,Pakistan,Silver,1
1972,Poland,Bronze,9
1972,Poland,Gold,8
1972,Poland,Silver,5
1972,Romania,Bronze,7
1972,Romania,Gold,3
1972,Romania,Silver,6
1972,Russia,Bronze,25
1972,Russia,Gold,58
1972,Russia,Silver,32
1972,Serbia,Bronze,2
1972,Serbia,Gold,2
1972,Serbia,Silver,1
1972,South Korea,Bronze,0
1972,South Korea,Gold,0
1972,South Korea,Silver,1
1972,Spain,Bronze,1
1972,Spain,Gold,1
1972,Spain,Silver,0
1972,Sweden,Bronze,8
1972,Sweden,Gold,5
1972,Sweden,Silver,7
1972,Switzerland,Bronze,3
1972,Switzerland,Gold,4
1972,Switzerland,Silver,6
1972,Tunisia,Bronze,0
1972,Tunisia,Gold,0
1972,Tunisia,Silver,1
1972,Turkey,Bronze,0
1972,Turkey,Gold,0
1972,Turkey,Silver,1
1972,UK,Bronze,9
1972,UK,Gold,4
1972,UK,Silver,5
1972,USA,Bronze,33
1972,USA,Gold,36
1972,USA,Silver,33
1972,Uganda,Bronze,0
1972,Uganda,Gold,1
1972,Uganda,Silver,1
1976,Australia,Bronze,4
1976,Australia,Gold,0
1976,Australia,Silver,1
1976,Austria,Bronze,3
1976,Austria,Gold,2
1976,Austria,Silver,2
1976,Belgium,Bronze,3
1976,Belgium,Gold,0
1976,Belgium,Silver,3
1976,Bermuda,Bronze,1
1976,Bermuda,Gold,0
1976,Bermuda,Silver,0
1976,Brazil,Bronze,2
1976,Brazil,Gold,0
1976,Brazil,Silver,0
1976,Bulgaria,Bronze,7
1976,Bulgaria,Gold,6
1976,Bulgaria,Silver,9
1976,Canada,Bronze,7
1976,Canada,Gold,1
1976,Canada,Silver,6
1976,Cuba,Bronze,3
1976,Cuba,Gold,6
1976,Cuba,Silver,4
1976,Czech Republic,Bronze,4
1976,Czech Republic,Gold,2
1976,Czech Republic,Silver,3
1976,Denmark,Bronze,2
1976,Denmark,Gold,1
1976,Denmark,Silver,0
1976,Finland,Bronze,1
1976,Finland,Gold,6
1976,Finland,Silver,6
1976,France,Bronze,5
1976,France,Gold,2
1976,France,Silver,3
1976,Germany,Bronze,52
1976,Germany,Gold,59
1976,Germany,Silver,47
1976,Hungary,Bronze,13
1976,Hungary,Gold,4
1976,Hungary,Silver,5
1976,Iran,Bronze,1
1976,Iran,Gold,0
1976,Iran,Silver,1
1976,Italy,Bronze,5
1976,Italy,Gold,3
1976,Italy,Silver,9
1976,Jamaica,Bronze,0
1976,Jamaica,Gold,1
1976,Jamaica,Silver,1
1976,Japan,Bronze,10
1976,Japan,Gold,9
1976,Japan,Silver,6
1976,Liechtenstein,Bronze,2
1976,Liechtenstein,Gold,0
1976,Liechtenstein,Silver,0
1976,Mexico,Bronze,1
1976,Mexico,Gold,1
1976,Mexico,Silver,0
1976,Mongolia,Bronze,0
1976,Mongolia,Gold,0
1976,Mongolia,Silver,1
1976,Netherlands,Bronze,6
1976,Netherlands,Gold,1
1976,Netherlands,Silver,4
1976,New Zealand,Bronze,1
1976,New Zealand,Gold,2
1976,New Zealand,Silver,1
1976,North Korea,Bronze,0
1976,North Korea,Gold,1
1976,North Korea,Silver,1
1976,Norway,Bronze,1
1976,Norway,Gold,4
1976,Norway,Silver,4
1976,Pakistan,Bronze,1
1976,Pakistan,Gold,0
1976,Pakistan,Silver,0
1976,Poland,Bronze,13
1976,Poland,Gold,7
1976,Poland,Silver,6
1976,Portugal,Bronze,0
1976,Portugal,Gold,0
1976,Portugal,Silver,2
1976,Puerto Rico,Bronze,1
1976,Puerto Rico,Gold,0
1976,Puerto Rico,Silver,0
1976,Romania,Bronze,14
1976,Romania,Gold,4
1976,Romania,Silver,9
1976,Russia,Bronze,43
1976,Russia,Gold,62
1976,Russia,Silver,47
1976,Serbia,Bronze,3
1976,Serbia,Gold,2
1976,Serbia,Silver,3
1976,South Korea,Bronze,4
1976,South Korea,Gold,1
1976,South Korea,Silver,1
1976,Spain,Bronze,0
1976,Spain,Gold,0
1976,Spain,Silver,2
1976,Sweden,Bronze,2
1976,Sweden,Gold,4
1976,Sweden,Silver,1
1976,Switzerland,Bronze,3
1976,Switzerland,Gold,2
1976,Switzerland,Silver,4
1976,Thailand,Bronze,1
1976,Thailand,Gold,0
1976,Thailand,Silver,0
1976,Trinidad,Bronze,0
1976,Trinidad,Gold,1
1976,Trinidad,Silver,0
1976,UK,Bronze,5
1976,UK,Gold,4
1976,UK,Silver,5
1976,USA,Bronze,29
1976,USA,Gold,37
1976,USA,Silver,38
1976,Venezuela,Bronze,0
1976,Venezuela,Gold,0
1976,Venezuela,Silver,1
1980,Australia,Bronze,5
1980,Australia,Gold,2
1980,Australia,Silver,2
1980,Austria,Bronze,3
1980,Austria,Gold,4
1980,Austria,Silver,4
1980,Belgium,Bronze,0
1980,Belgium,Gold,1
1980,Belgium,Silver,0
1980,Brazil,Bronze,2
1980,Brazil,Gold,2
1980,Brazil,Silver,0
1980,Bulgaria,Bronze,18
1980,Bulgaria,Gold,8
1980,Bulgaria,Silver,16
1980,Canada,Bronze,1
1980,Canada,Gold,0
1980,Canada,Silver,1
1980,Cuba,Bronze,5
1980,Cuba,Gold,8
1980,Cuba,Silver,7
1980,Czech Republic,Bronze,10
1980,Czech Republic,Gold,2
1980,Czech Republic,Silver,3
1980,Denmark,Bronze,2
1980,Denmark,Gold,2
1980,Denmark,Silver,1
1980,Ethiopia,Bronze,2
1980,Ethiopia,Gold,2
1980,Ethiopia,Silver,0
1980,Finland,Bronze,7
1980,Finland,Gold,4
1980,Finland,Silver,6
1980,France,Bronze,4
1980,France,Gold,6
1980,France,Silver,5
1980,Germany,Bronze,52
1980,Germany,Gold,56
1980,Germany,Silver,46
1980,Greece,Bronze,2
1980,Greece,Gold,1
1980,Greece,Silver,0
1980,Guyana,Bronze,1
1980,Guyana,Gold,0
1980,Guyana,Silver,0
1980,Hungary,Bronze,15
1980,Hungary,Gold,7
1980,Hungary,Silver,11
1980,India,Bronze,0
1980,India,Gold,1
1980,India,Silver,0
1980,Ireland,Bronze,1
1980,Ireland,Gold,0
1980,Ireland,Silver,1
1980,Italy,Bronze,4
1980,Italy,Gold,8
1980,Italy,Silver,5
1980,Jamaica,Bronze,3
1980,Jamaica,Gold,0
1980,Jamaica,Silver,0
1980,Japan,Bronze,0
1980,Japan,Gold,0
1980,Japan,Silver,1
1980,Lebanon,Bronze,1
1980,Lebanon,Gold,0
1980,Lebanon,Silver,0
1980,Liechtenstein,Bronze,0
1980,Liechtenstein,Gold,2
1980,Liechtenstein,Silver,2
1980,Mexico,Bronze,3
1980,Mexico,Gold,0
1980,Mexico,Silver,1
1980,Mongolia,Bronze,2
1980,Mongolia,Gold,0
1980,Mongolia,Silver,2
1980,Netherlands,Bronze,3
1980,Netherlands,Gold,1
1980,Netherlands,Silver,3
1980,North Korea,Bronze,2
1980,North Korea,Gold,0
1980,North Korea,Silver,3
1980,Norway,Bronze,6
1980,Norway,Gold,1
1980,Norway,Silver,3
1980,Poland,Bronze,15
1980,Poland,Gold,3
1980,Poland,Silver,14
1980,Romania,Bronze,13
1980,Romania,Gold,6
1980,Romania,Silver,6
1980,Russia,Bronze,52
1980,Russia,Gold,90
1980,Russia,Silver,75
1980,Serbia,Bronze,4
1980,Serbia,Gold,2
1980,Serbia,Silver,3
1980,Spain,Bronze,2
1980,Spain,Gold,1
1980,Spain,Silver,3
1980,Sweden,Bronze,7
1980,Sweden,Gold,6
1980,Sweden,Silver,3
1980,Switzerland,Bronze,3
1980,Switzerland,Gold,3
1980,Switzerland,Silver,1
1980,Tanzania,Bronze,0
1980,Tanzania,Gold,0
1980,Tanzania,Silver,2
1980,UK,Bronze,9
1980,UK,Gold,6
1980,UK,Silver,7
1980,USA,Bronze,2
1980,USA,Gold,6
1980,USA,Silver,4
1980,Uganda,Bronze,0
1980,Uganda,Gold,0
1980,Uganda,Silver,1
1980,Venezuela,Bronze,0
1980,Venezuela,Gold,0
1980,Venezuela,Silver,1
1980,Zimbabwe,Bronze,0
1980,Zimbabwe,Gold,1
1980,Zimbabwe,Silver,0
1984,Algeria,Bronze,2
1984,Algeria,Gold,0
1984,Algeria,Silver,0
1984,Australia,Bronze,12
1984,Australia,Gold,4
1984,Australia,Silver,8
1984,Austria,Bronze,2
1984,Austria,Gold,1
1984,Austria,Silver,1
1984,Belgium,Bronze,2
1984,Belgium,Gold,1
1984,Belgium,Silver,1
1984,Brazil,Bronze,2
1984,Brazil,Gold,1
1984,Brazil,Silver,5
1984,Cameroon,Bronze,1
1984,Cameroon,Gold,0
1984,Cameroon,Silver,0
1984,Canada,Bronze,17
1984,Canada,Gold,12
1984,Canada,Silver,19
1984,China,Bronze,9
1984,China,Gold,15
1984,China,Silver,8
1984,Colombia,Bronze,0
1984,Colombia,Gold,0
1984,Colombia,Silver,1
1984,Czech Republic,Bronze,4
1984,Czech Republic,Gold,0
1984,Czech Republic,Silver,2
1984,Denmark,Bronze,3
1984,Denmark,Gold,0
1984,Denmark,Silver,3
1984,Dominican Republic,Bronze,1
1984,Dominican Republic,Gold,0
1984,Dominican Republic,Silver,0
1984,Egypt,Bronze,0
1984,Egypt,Gold,0
1984,Egypt,Silver,1
1984,Finland,Bronze,12
1984,Finland,Gold,8
1984,Finland,Silver,5
1984,France,Bronze,18
1984,France,Gold,5
1984,France,Silver,8
1984,Germany,Bronze,30
1984,Germany,Gold,28
1984,Germany,Silver,29
1984,Greece,Bronze,1
1984,Greece,Gold,0
1984,Greece,Silver,1
1984,Iceland,Bronze,1
1984,Iceland,Gold,0
1984,Iceland,Silver,0
1984,Ireland,Bronze,0
1984,Ireland,Gold,0
1984,Ireland,Silver,1
1984,Italy,Bronze,12
1984,Italy,Gold,16
1984,Italy,Silver,6
1984,Ivory Coast,Bronze,0
1984,Ivory Coast,Gold,0
1984,Ivory Coast,Silver,1
1984,Jamaica,Bronze,2
1984,Jamaica,Gold,0
1984,Jamaica,Silver,1
1984,Japan,Bronze,14
1984,Japan,Gold,10
1984,Japan,Silver,8
1984,Kenya,Bronze,2
1984,Kenya,Gold,1
1984,Kenya,Silver,0
1984,Liechtenstein,Bronze,2
1984,Liechtenstein,Gold,0
1984,Liechtenstein,Silver,0
1984,Mexico,Bronze,1
1984,Mexico,Gold,2
1984,Mexico,Silver,3
1984,Morocco,Bronze,0
1984,Morocco,Gold,2
1984,Morocco,Silver,0
1984,Netherlands,Bronze,6
1984,Netherlands,Gold,5
1984,Netherlands,Silver,2
1984,New Zealand,Bronze,2
1984,New Zealand,Gold,8
1984,New Zealand,Silver,1
1984,Nigeria,Bronze,1
1984,Nigeria,Gold,0
1984,Nigeria,Silver,1
1984,Norway,Bronze,6
1984,Norway,Gold,3
1984,Norway,Silver,3
1984,Pakistan,Bronze,0
1984,Pakistan,Gold,1
1984,Pakistan,Silver,0
1984,Peru,Bronze,0
1984,Peru,Gold,0
1984,Peru,Silver,1
1984,Portugal,Bronze,2
1984,Portugal,Gold,1
1984,Portugal,Silver,0
1984,Puerto Rico,Bronze,1
1984,Puerto Rico,Gold,0
1984,Puerto Rico,Silver,1
1984,Romania,Bronze,17
1984,Romania,Gold,19
1984,Romania,Silver,16
1984,Russia,Bronze,9
1984,Russia,Gold,6
1984,Russia,Silver,10
1984,Serbia,Bronze,7
1984,Serbia,Gold,7
1984,Serbia,Silver,5
1984,South Korea,Bronze,7
1984,South Korea,Gold,6
1984,South Korea,Silver,6
1984,Spain,Bronze,2
1984,Spain,Gold,1
1984,Spain,Silver,2
1984,Sweden,Bronze,8
1984,Sweden,Gold,6
1984,Sweden,Silver,13
1984,Switzerland,Bronze,5
1984,Switzerland,Gold,2
1984,Switzerland,Silver,6
1984,Syria,Bronze,0
1984,Syria,Gold,0
1984,Syria,Silver,1
1984,Taiwan,Bronze,1
1984,Taiwan,Gold,0
1984,Taiwan,Silver,0
1984,Thailand,Bronze,0
1984,Thailand,Gold,0
1984,Thailand,Silver,1
1984,Turkey,Bronze,3
1984,Turkey,Gold,0
1984,Turkey,Silver,0
1984,UK,Bronze,21
1984,UK,Gold,6
1984,UK,Silver,11
1984,USA,Bronze,30
1984,USA,Gold,86
1984,USA,Silver,65
1984,Venezuela,Bronze,3
1984,Venezuela,Gold,0
1984,Venezuela,Silver,0
1984,Zambia,Bronze,1
1984,Zambia,Gold,0
1984,Zambia,Silver,0
1988,Argentina,Bronze,1
1988,Argentina,Gold,0
1988,Argentina,Silver,1
1988,Australia,Bronze,5
1988,Australia,Gold,3
1988,Australia,Silver,6
1988,Austria,Bronze,2
1988,Austria,Gold,4
1988,Austria,Silver,5
1988,Belgium,Bronze,2
1988,Belgium,Gold,0
1988,Belgium,Silver,0
1988,Brazil,Bronze,3
1988,Brazil,Gold,1
1988,Brazil,Silver,2
1988,Bulgaria,Bronze,13
1988,Bulgaria,Gold,10
1988,Bulgaria,Silver,12
1988,Canada,Bronze,8
1988,Canada,Gold,3
1988,Canada,Silver,4
1988,Chile,Bronze,0
1988,Chile,Gold,0
1988,Chile,Silver,1
1988,China,Bronze,12
1988,China,Gold,5
1988,China,Silver,11
1988,Colombia,Bronze,1
1988,Colombia,Gold,0
1988,Colombia,Silver,0
1988,Costa Rica,Bronze,0
1988,Costa Rica,Gold,0
1988,Costa Rica,Silver,1
1988,Curacao,Bronze,0
1988,Curacao,Gold,0
1988,Curacao,Silver,1
1988,Czech Republic,Bronze,4
1988,Czech Republic,Gold,3
1988,Czech Republic,Silver,4
1988,Denmark,Bronze,1
1988,Denmark,Gold,2
